player,org,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
Kishi,FCY,1.11,199.6,1.02,76%,125.9,0.71,0.47,0.06,0.06,33%,17%
ion2x,OREG,1.10,226.8,1.16,74%,149.2,0.81,0.27,0.11,0.08,33%,8%
Ivy,AKV.GC,1.10,201.4,1.10,76%,135.0,0.74,0.24,0.09,0.07,39%,9%
Hoax,OGS,1.10,206.5,1.20,74%,134.3,0.76,0.34,0.04,0.07,25%,30%
DEATHMAKER,MOGO,1.10,204.0,1.14,72%,139.0,0.72,0.18,0.07,0.06,31%,14%
ComeBack,BCF,1.10,244.2,1.21,70%,162.4,0.88,0.15,0.18,0.16,27%,6%
waved,LOUD.GC,1.10,248.7,1.10,70%,168.2,0.83,0.19,0.20,0.15,32%,14%
koalanoob,M80,1.10,233.9,1.16,71%,151.5,0.82,0.26,0.20,0.15,23%,19%
LizA,VLNT,1.10,256.5,1.15,71%,163.3,0.90,0.19,0.24,0.23,28%,10%
cgrs,MITH,1.10,196.9,1.13,78%,130.9,0.69,0.32,0.06,0.07,23%,15%
welyy,Blue,1.09,193.9,1.07,73%,132.2,0.65,0.36,0.07,0.06,29%,19%
Brofeld,CGZ,1.09,209.9,1.13,75%,132.3,0.79,0.21,0.10,0.06,24%,6%
Luj,TWIS.O,1.09,226.0,1.11,74%,151.4,0.79,0.19,0.08,0.06,39%,7%
BerserX,BME,1.09,202.4,1.12,72%,139.5,0.71,0.22,0.08,0.07,26%,6%
sacred,SaD,1.09,204.9,1.07,71%,131.9,0.75,0.36,0.05,0.08,32%,21%
Dambi,SPG,1.09,251.0,1.13,75%,153.6,0.83,0.29,0.21,0.18,21%,17%
Lyda,HERO,1.09,211.9,1.10,74%,140.6,0.76,0.26,0.12,0.08,33%,22%
Techno,OGS,1.09,207.4,1.12,73%,134.4,0.71,0.32,0.12,0.09,29%,18%
jovahnii,BLIN,1.09,202.9,1.13,75%,133.5,0.73,0.35,0.09,0.07,24%,8%
adverso,AK,1.09,201.6,1.06,73%,133.7,0.70,0.36,0.06,0.09,29%,19%
twilight,,1.09,211.2,1.09,69%,143.1,0.76,0.21,0.12,0.09,37%,17%
wayne,DSG,1.08,223.4,1.04,78%,144.5,0.77,0.39,0.08,0.07,26%,17%
Papi,NBG,1.08,209.7,1.06,76%,142.1,0.74,0.45,0.08,0.06,22%,33%
lukxo,GLRS,1.08,223.1,1.13,70%,145.6,0.79,0.26,0.13,0.10,32%,18%
Famouz,BME,1.08,235.7,1.10,74%,149.5,0.80,0.22,0.19,0.13,16%,24%
Srx,OXR,1.08,234.3,1.10,69%,152.0,0.82,0.20,0.18,0.17,27%,20%
Timotino,ROSE,1.08,242.1,1.10,71%,153.4,0.82,0.23,0.17,0.16,25%,20%
Toki,FLCV,1.08,205.0,1.12,72%,137.8,0.72,0.35,0.09,0.10,34%,28%
adora,HERO,1.08,229.3,1.05,66%,156.2,0.80,0.21,0.17,0.19,29%,13%
Tristiieee,VZ,1.08,203.8,1.04,69%,134.4,0.72,0.27,0.09,0.07,28%,9%
mimi,G2.G,1.08,180.0,1.19,79%,119.9,0.65,0.30,0.05,0.06,33%,10%
nightz,ASTA,1.08,235.6,1.12,74%,151.4,0.83,0.21,0.17,0.11,35%,20%
Joliinaa,GX.GC,1.08,208.7,1.11,77%,133.6,0.73,0.42,0.09,0.06,27%,13%
Laz,MITH,1.08,196.0,1.10,74%,133.6,0.68,0.27,0.06,0.08,25%,23%
Boomy,,1.08,229.8,1.04,68%,144.3,0.83,0.19,0.16,0.13,24%,16%
