player,org,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,clutch_wins,max_kills,kills,deaths,assists,first_kills,first_deaths
Dambi,SPG,282,1.09,251.0,1.13,75%,153.6,0.83,0.29,0.21,0.18,21%,17%,2/12,26,235,208,82,60,50
Famouz,BME,406,1.08,235.7,1.10,74%,149.5,0.80,0.22,0.19,0.13,16%,24%,8/33,26,326,297,89,76,51
Logan,FCN,771,1.08,210.6,1.05,74%,145.9,0.73,0.32,0.08,0.07,24%,18%,14/79,28,560,531,248,64,51
ritsu,Gala,220,1.08,222.4,1.14,68%,152.3,0.80,0.20,0.12,0.09,31%,10%,4/42,23,176,154,45,27,19
Toki,FLCV,551,1.08,205.0,1.12,72%,137.8,0.72,0.35,0.09,0.10,34%,28%,15/53,26,398,356,191,50,56
twilight,,493,1.08,210.0,1.06,69%,142.5,0.75,0.21,0.12,0.09,37%,15%,10/66,29,370,348,103,61,46
Srx,OXR,241,1.08,234.3,1.10,69%,152.0,0.82,0.20,0.18,0.17,27%,20%,5/25,24,198,180,48,43,41
Boomy,,335,1.08,229.8,1.04,68%,144.3,0.83,0.19,0.16,0.13,24%,16%,7/45,32,279,268,65,53,42
Timotino,ROSE,693,1.08,242.1,1.10,71%,153.4,0.82,0.23,0.17,0.16,25%,20%,9/45,25,566,516,160,120,112
adora,HERO,442,1.08,229.3,1.05,66%,156.2,0.80,0.21,0.17,0.19,29%,13%,5/40,27,352,335,91,77,82
Joliinaa,GX.GC,495,1.08,208.7,1.11,77%,133.6,0.73,0.42,0.09,0.06,27%,13%,6/45,24,362,326,209,46,31
wayne,DSG,246,1.08,223.4,1.04,78%,144.5,0.77,0.39,0.08,0.07,26%,17%,5/29,29,190,183,97,20,17
mimi,G2.G,343,1.08,180.0,1.19,79%,119.9,0.65,0.30,0.05,0.06,33%,10%,5/48,21,223,187,102,17,21
Papi,NBG,592,1.08,209.7,1.06,76%,142.1,0.74,0.45,0.08,0.06,22%,33%,16/48,34,437,412,267,45,38
lukxo,GLRS,380,1.08,223.1,1.13,70%,145.6,0.79,0.26,0.13,0.10,32%,18%,8/45,32,301,267,99,50,38
t3xture,GEN,204,1.08,246.8,1.24,74%,154.5,0.89,0.15,0.21,0.14,26%,17%,2/12,30,182,147,30,42,29
Truth,SCC,862,1.08,209.8,1.11,72%,138.3,0.75,0.27,0.09,0.08,30%,13%,15/112,35,650,586,229,77,72
Laz,MITH,234,1.08,196.0,1.10,74%,133.6,0.68,0.27,0.06,0.08,25%,23%,5/22,23,158,143,63,15,18
rawfiul,MOGO,292,1.07,208.2,1.19,74%,137.1,0.76,0.22,0.15,0.13,36%,10%,2/20,25,221,185,65,43,38
stax,T1,238,1.07,179.0,1.05,77%,124.1,0.64,0.45,0.05,0.04,23%,18%,4/22,19,152,145,108,11,10
spike,2G,466,1.07,233.3,1.05,76%,144.9,0.77,0.42,0.15,0.15,27%,9%,2/22,25,357,339,196,70,68
terror,oomf,468,1.07,217.6,1.05,72%,143.7,0.72,0.30,0.08,0.08,31%,11%,7/64,29,339,324,140,39,37
Sushiboys,FS,460,1.07,201.3,1.06,73%,134.1,0.72,0.32,0.08,0.08,25%,11%,7/64,27,329,309,148,36,38
Francis,SPG,282,1.07,191.9,1.15,73%,127.0,0.73,0.39,0.06,0.07,28%,7%,2/28,32,205,178,111,18,20
Joojina,TL,464,1.07,195.1,1.05,76%,127.2,0.68,0.42,0.07,0.06,25%,9%,4/44,20,315,301,197,32,28
Shondex,Blue,554,1.07,200.7,1.18,75%,134.7,0.74,0.22,0.09,0.07,34%,11%,7/62,27,411,348,123,49,41
seph1roth,MITH,234,1.07,188.5,1.12,79%,122.6,0.68,0.34,0.09,0.07,36%,28%,8/29,19,160,143,79,22,16
Governor,TLN,379,1.07,221.2,1.17,74%,139.8,0.77,0.18,0.18,0.11,25%,19%,5/26,27,293,251,69,69,43
Addi,FMG.GC,264,1.07,231.7,1.06,69%,150.3,0.81,0.24,0.14,0.08,27%,6%,2/36,30,214,201,64,36,21
RetrQ,NBG,704,1.07,197.2,1.07,75%,128.7,0.71,0.37,0.06,0.06,29%,15%,16/108,26,500,469,258,41,41
zander,100T,586,1.07,209.6,1.08,75%,133.1,0.75,0.37,0.10,0.10,28%,20%,12/61,31,437,404,216,56,59
cuz,ROSE,750,1.07,236.6,1.10,72%,151.3,0.81,0.20,0.19,0.15,24%,14%,10/71,27,609,552,150,143,115
antG,LOUD.GC,221,1.07,204.1,1.05,75%,131.1,0.73,0.30,0.09,0.09,29%,10%,3/30,25,162,154,67,19,19
JA,NAOS,266,1.07,216.5,1.14,75%,140.7,0.79,0.19,0.11,0.09,28%,4%,1/28,30,209,184,51,30,24
tokameite,NSR.I,362,1.07,180.8,1.02,75%,123.5,0.66,0.41,0.03,0.05,30%,10%,5/51,27,238,233,150,10,19
Cebando,AK,448,1.07,199.9,1.01,73%,127.2,0.69,0.43,0.10,0.08,32%,16%,7/43,24,307,305,193,46,35
Tristiieee,VZ,270,1.07,198.4,1.02,69%,129.8,0.70,0.27,0.07,0.07,28%,13%,5/40,20,189,185,74,20,18
OXY,C9,260,1.07,259.8,1.13,70%,161.0,0.88,0.16,0.25,0.20,27%,20%,1/5,28,229,203,42,65,53
Mary,FLCV,551,1.07,242.5,1.18,70%,155.7,0.85,0.17,0.21,0.17,30%,26%,9/34,32,467,397,91,114,91
romily,KRÜ.B,213,1.06,189.4,1.24,74%,122.0,0.70,0.24,0.08,0.05,34%,10%,3/29,19,150,121,52,16,10
NcSlasher,BME,406,1.06,208.8,1.13,78%,128.0,0.76,0.32,0.10,0.08,24%,11%,3/27,29,310,275,128,39,34
aplycs,RGE,276,1.06,209.2,1.03,70%,145.6,0.73,0.17,0.06,0.06,30%,7%,4/57,25,201,196,47,16,17
Kaah,TLV,208,1.06,206.3,1.01,74%,132.0,0.76,0.30,0.07,0.11,33%,27%,7/26,20,159,158,62,14,23
frostmind,BTR,243,1.06,197.6,0.97,78%,132.4,0.65,0.61,0.05,0.07,38%,3%,1/29,24,158,163,149,12,17
Chloe,FIRE,219,1.06,219.2,1.11,73%,141.1,0.80,0.31,0.11,0.12,27%,10%,2/20,25,176,159,67,25,26
bao,LS,455,1.06,208.0,1.08,70%,139.0,0.76,0.20,0.10,0.08,39%,13%,9/67,25,344,320,93,47,37
AL7B,DRGN,406,1.06,191.6,0.98,70%,131.5,0.70,0.31,0.08,0.05,28%,14%,10/73,23,284,290,127,32,19
sonder,FLY.R,544,1.06,233.4,1.11,74%,143.9,0.81,0.35,0.13,0.13,25%,15%,6/40,25,439,397,188,73,68
vita,MYTH,684,1.06,250.7,1.10,69%,161.5,0.88,0.21,0.18,0.20,32%,7%,2/27,28,600,547,147,122,135
eva,FLCV,315,1.06,189.1,1.09,75%,123.2,0.69,0.23,0.05,0.03,25%,13%,7/55,25,218,200,72,15,11
seven,TSM,785,1.06,225.7,1.07,74%,145.1,0.77,0.24,0.14,0.15,23%,15%,12/79,28,608,567,189,110,121
ness,GX.GC,495,1.06,187.3,1.03,75%,131.7,0.64,0.34,0.05,0.05,25%,16%,14/89,27,318,308,168,25,23
stunna,VZ,325,1.06,241.2,1.09,68%,150.8,0.84,0.18,0.17,0.13,31%,8%,2/26,31,272,250,58,54,43
Sylvan,T1,238,1.06,177.2,1.04,85%,117.4,0.63,0.53,0.07,0.05,33%,24%,5/21,21,150,144,125,17,13
Zap,2G,466,1.06,188.2,1.01,75%,127.8,0.66,0.37,0.05,0.06,29%,14%,10/70,23,307,305,174,25,26
alym,NBG,314,1.06,239.4,1.10,66%,157.9,0.84,0.20,0.17,0.16,28%,13%,4/31,27,264,240,63,53,50
ZesBeeW,BME,406,1.05,192.1,1.05,76%,121.6,0.68,0.43,0.09,0.07,21%,11%,7/62,27,275,262,175,35,27
Jerrwin,LS,751,1.05,248.7,1.07,70%,160.7,0.84,0.24,0.21,0.18,25%,22%,12/54,37,631,589,179,155,134
alexis,SR,445,1.05,168.0,1.05,78%,107.5,0.60,0.55,0.05,0.07,35%,15%,8/53,19,269,255,243,22,29
